VraagID;Zorgkantoor;Vraagtekst;Antwoordtekst;Documentnaam;Paragraafnaam;Landelijke documentnaam;Landelijke paragraafnaam;Klaar voor publicatie;Definitief antwoord (Nota van Inlichtingen);Vraag in Nota van Inlichtingen (gematcht);Bron document (NvI);Bron paragraaf (NvI);Matchscore (vraagherkenning);Matchkwaliteit;Antwoordovereenkomst (AI-concept vs definitief)
;Notilyze;"2.4.3.1.  Wanneer is er volgens CZ sprake van geclusterde en wanneer van ongeclusterde VPT? Geldt dit alleen voor woonvormen of ook voor bepaalde wijken?
En hoe voorkomt CZ dat bij de zorgorganisatie de administratieve lasten enorm toenemen wanneer de MPT voorliggend is aan de VPT?";"Wij spreken van geclusterde zorg als drie of meer mensen met dezelfde postcode op PC6-niveau zorg ontvangen; daarmee is de afbakening gekoppeld aan de feitelijke concentratie van cliënten op hetzelfde adres/postcodegebied en niet aan een wijk als geheel. Bij ongeclusterde zorg thuis geldt vanaf 1 januari 2027 voor alle nieuwe klanten dat MPT in principe voorliggend is op VPT, te beoordelen met het landelijke toetsingskader. VPT kan passend zijn als MPT door een sterk fluctuerende zorgvraag leidt tot een onevenredige onredelijke administratieve belasting; daarnaast monitoren wij met spiegelinformatie en gaan wij bij achterblijvende ontwikkeling in gesprek, rekening houdend met klantpopulatie en regionale situatie. Zie inkoopbeleid Wlz Verpleging en verzorging 2027-2029, paragraaf 4.2, en bijlage 2 Landelijk beleidskader Wlz 2027, Beleid “Wanneer is vpt passend bij ongeclusterde Wlz-zorg?”.";Bijlage 1 - Landelijke Inkoopvisie- Visie op samen werken aan langdurige zorg 2027-2029;2.1 Een landelijke visie met ruimte voor maatwerk in de regio;;;FALSE;Dit beleid geldt voor ongeclusterde mpt en vpt. De definitie van geclusterde VPT is in een voetnoot toegelicht in het inkoopbeleid. In het HLO is afgesproken: “Als partijen gezamenlijk de uitkomst van de pilot van DSW met de rekenmodule positief beoordelen, dan gaan partijen (ZN, ActiZ en VWS/NZa) om de tafel om te bezien onder welke randvoorwaarden landelijke opschaling mogelijk is. Hierbij wordt ook het CAK betrokken.” Zorgkantoren zijn de afgelopen en komende periode binnen ZN bezig met een evaluatie van de pilot van DSW. Zorgkantoren zijn aan het onderzoeken hoe de administratieve last (indien mogelijk gelijkgericht) kan worden beperkt. Wij hopen in het najaar meer duidelijkheid te kunnen geven over de mogelijkheden die zorgkantoren zien om de administratieve lasten te verminderen.;Mpt voorliggend op Vpt. Wanneer is er sprake van geclusterde VPT? Geldt dit alleen voor woonvormen of ook voor bepaalde wijken? En hoe voorkomt het zorgkantoor dat er door deze omzetting een enorme toename van administratieve lasten ontstaat?;Nota van Inlichtingen Inkoopbeleid Bijlagen Wlz 2027-2029;3.2 Toetsingskader mpt voorliggend aan vpt;0.673;Hoog;0.196
;Notilyze;Hoe draagt het zorgkantoor eraan bij dat de wettelijke en juridische randvoorwaarden passend zijn voor gecombineerde zorg GZ / GGZ?;Wij dragen hieraan bij door continu te werken aan landelijke randvoorwaarden voor de juiste zorg op de juiste plek en door in de regio samenwerking tussen GZ en GGZ actief te versterken. Wij vragen zorgaanbieders deze samenwerking actief op te zoeken en benutten als zorgkantoor ook zelf kansen om samenwerking tussen GZ en GGZ verder te brengen. Voor wettelijke of juridische randvoorwaarden die buiten de bevoegdheid van het zorgkantoor vallen, ligt de verantwoordelijkheid niet bij Zilveren Kruis. Zie inkoopbeleid Wlz GGZ 2027-2029, paragraaf 1.1 en inkoopbeleid Wlz GZ 2027-2029, paragraaf 3.1.;Bijlage 1 - Landelijke Inkoopvisie- Visie op samen werken aan langdurige zorg 2027-2029;4.2 Gehandicaptenzorg - verandering is nodig om passende zorg te behouden;;;FALSE;Zorgkantoren dragen hieraan bij door te werken aan landelijke randvoorwaarden en door in de regio samenwerking tussen GZ en GGZ actief te stimuleren en te versterken. Wij verwachten dat zorgaanbieders deze samenwerking actief opzoeken en benutten. Wettelijke of juridische randvoorwaarden die buiten onze bevoegdheid liggen, signaleren wij landelijk bij onder meer VWS en de NZa. Wij nemen ook actief deel aan landelijke overleggen hierover.;Hoe draagt het zorgkantoor eraan bij dat de wettelijke en juridische randvoorwaarden passend zijn voor gecombineerde zorg GZ / GGZ?;Nota van Inlichtingen Inkoopbeleid Bijlagen Wlz 2027-2029;4.2 Gehandicaptenzorg - verandering is nodig om passende zorg te behouden;1.000;Hoog;0.637
;Notilyze;test;Uw vraag is onvoldoende concreet om inhoudelijk te beantwoorden. Stel uw vraag over een specifieke passage, voorwaarde of afspraak, dan kunnen wij daarop reageren. Er is geen relevante bron gevonden.;Bijlage 1 - Landelijke Inkoopvisie- Visie op samen werken aan langdurige zorg 2027-2029;1. Voorwoord;;;FALSE;Geen (voldoende) match gevonden in Nota van Inlichtingen;;;;0.006;Geen match;0.367
;Notilyze;Het landelijk inkoopbeleid is leidend bij het maken van afspraken met zorgaanbieders. Dit document kan worden aangepast als er nieuwe ontwikkelingen of aanvullende voorwaarden zijn. In dat geval wordt de branche vooraf geïnformeerd. Wanneer wordt de branche geïnformeerd en krijgt zij de mogelijkheid om op de wijziging te reageren  voordat de zorgkantoren deze wijziging doorvoeren?;"Er is geen vaste termijn of reactiemogelijkheid vooraf vastgelegd voor wijzigingen in het landelijk beleidskader. Indien nodig worden de relevante branches vooraf geïnformeerd; inhoudelijke wijzigingen worden bij iedere nieuwe versie in de inleiding benoemd en grijs gearceerd. Voor wijzigingen van de inkoopprocedure behouden zorgkantoren zich het recht voor om deze door te voeren bij de genoemde omstandigheden. Zie bijlage 2 Landelijk beleidskader Wlz 2027, hoofdstuk 1; zie inkoopbeleid Wlz GZ 2027-2029, paragraaf 8.6.";Bijlage 1 - Landelijke Inkoopvisie- Visie op samen werken aan langdurige zorg 2027-2029;1. Voorwoord;;;FALSE;Er is geen vaste termijn of reactieronde vastgelegd vóórdat zorgkantoren een wijziging doorvoeren. Als dat nodig is, informeren zorgkantoren de relevante branches vooraf.;Het landelijk inkoopbeleid kan worden aangepast als er nieuwe ontwikkelingen of aanvullende voorwaarden zijn. In dat geval wordt de branche vooraf geïnformeerd. Wanneer wordt de branche geïnformeerd en krijgt zij de mogelijkheid om op de wijziging te reageren vóórdat de zorgkantoren deze wijziging doorvoeren?;Nota van Inlichtingen Inkoopbeleid Bijlagen Wlz 2027-2029;1. Inleiding;0.908;Hoog;0.388
;Notilyze;In 2027 wordt deelname aan regionale samenwerking feitelijk een belangrijk onderdeel van het contracteringsmodel. Hoe houdt CZ rekening met aanbieders die in meerdere regio's zorg leveren, maar waarbij het zwaartepunt in één of twee regio's ligt. Wordt in iedere contractregio een even grote bijdrage aan samenwerking verwacht?;"Wij verwachten niet automatisch in iedere contractregio een even grote bijdrage. Per regio leggen de regionale partners concrete meerjarige SMART-afspraken vast over resultaten, tijdslijnen en de bijdrage van elke partner; de prioriteiten bepalen we gezamenlijk op basis van de regionale situatie. Voor aanbieders die in meerdere regio’s werken, betekent dit dat de bijdrage per regio kan verschillen en in gesprek met de regionale partners en ons wordt ingevuld. Zie inkoopbeleid Wlz GGZ 2027-2029, paragraaf 3.1 en 3.5.";Bijlage 1 - Landelijke Inkoopvisie- Visie op samen werken aan langdurige zorg 2027-2029;4.2 Gehandicaptenzorg - verandering is nodig om passende zorg te behouden;;;FALSE;Regionale samenwerking is toegankelijk voor zorgaanbieders die in de regio werkzaam zijn en een bijdrage leveren aan de regionale opgave, ongeacht omvang. Zorgaanbieders blijven zelf verantwoordelijk voor het borgen van passende zorg voor hun cliënten en geven hier invulling aan via samenwerking en onderlinge afspraken. Iedere zorgaanbieder levert, passend bij zijn rol en positie, een bijdrage aan het regionale zorgaanbod. Het zorgkantoor ziet toe op toegankelijkheid en samenhang.;Hoe wordt voorkomen dat regionale samenwerking leidt tot uitsluiting van landelijke aanbieders met kleinschalige locaties in meerdere regio’s?;Nota van Inlichtingen Inkoopbeleid Bijlagen Wlz 2027-2029;3.1 Randvoorwaarden extramuralisering VV;0.232;Laag;0.219
;Notilyze;Op welke juridische grondslag baseert het zorgkantoor zijn inkoopbeleid ten aanzien van de financiering van onplanbare nachtzorg bij cliënten met een Modulair Pakket Thuis (MPT) of Volledig Pakket Thuis (VPT), en hoe wordt daarbij invulling gegeven aan de wettelijke zorgplicht om tijdig passende zorg beschikbaar te hebben, ook wanneer de organisatie van een 24/7 beschikbaarheidsfunctie substantiël;Wij baseren dit op de wettelijke zorgplicht van Wlz-uitvoerders uit artikel 4.2.1 en 4.2.2 Wlz: wij moeten voldoende verantwoorde zorg inkopen, binnen redelijke termijn en afstand, bij de cliënt thuis of waar hij wil wonen, binnen de financiële kaders van het regiobudget. Voor MPT en VPT geven wij hieraan invulling via de eis dat zorgaanbieders afspraken maken over 24/7 beschikbaarheid van alle benodigde planbare en onplanbare zorg en ondersteuning, inclusief triage, bereikbaarheid, aanrijtijd, werkafspraken, financiering en onderlinge declaraties. Iedere gecontracteerde zorgaanbieder blijft verantwoordelijk voor ANW-zorg voor zijn cliënten en kan daarvoor samenwerken of andere aanbieders inzetten. Zie bijlage 3A Overeenkomst Wlz 2027-2029, I.E, en bijlage 2 Landelijk beleidskader, sectie Volledige dekking van ANW-zorg.;Bijlage 1 - Landelijke Inkoopvisie- Visie op samen werken aan langdurige zorg 2027-2029;1. Voorwoord;;;FALSE;Het inkoopbeleid is gebaseerd op de geldende wettelijke kaders van de Wlz, waaronder de zorgplicht om tijdig passende zorg te realiseren. In het landelijke beleidskader is opgenomen dat randvoorwaarden zoals bereikbaarheid en ANW-zorg voor zorg thuis regionaal door zorgaanbieders in samenwerking worden georganiseerd. Het beleidskader bevat geen nadere afspraken over de wijze van bekostiging van deze randvoorwaarden. De invulling hiervan vindt plaats binnen de geldende NZa-kaders en in de regionale contractering. Voor de concrete uitwerking gaan zorgkantoren hierover met u in gesprek in de regio.;Op welke juridische grondslag baseert het zorgkantoor zijn inkoopbeleid ten aanzien van de financiering van onplanbare nachtzorg bij cliënten met een MPT of VPT, en hoe wordt daarbij invulling gegeven aan de wettelijke zorgplicht om tijdig passende zorg beschikbaar te hebben, ook wanneer de organisatie van een 24/7 beschikbaarheidsfunctie substantiële kosten met zich meebrengt?;Nota van Inlichtingen Inkoopbeleid Bijlagen Wlz 2027-2029;3.1 Randvoorwaarden extramuralisering VV;0.760;Hoog;0.314
;Notilyze;Welke ruimte is er voor maatwerkafspraken bij aanbieders met een relatief hoge intramurale bezetting?;"Bij aanbieders met een relatief hoge intramurale bezetting wordt dit primair meegenomen via de clustering: voor V&V is er een cluster ‘gedeeltelijk intramuraal’ en per cluster wordt een vertrektariefpercentage berekend. Dat vertrektariefpercentage is een gezamenlijk uitgangspunt, geen minimum- of maximumtarief; wij kunnen zowel een hoger als een lager tariefpercentage afspreken. Daarnaast kunnen wij met zorgaanbieders in gesprek gaan over maatwerkafspraken over het tariefpercentage, met het oog op doelmatigheid. Zie inkoopbeleid Wlz V&V 2027-2029, paragrafen 7.2, 7.3 en 7.4.";Bijlage 1 - Landelijke Inkoopvisie- Visie op samen werken aan langdurige zorg 2027-2029;2.1 Een landelijke visie met ruimte voor maatwerk in de regio;;;FALSE;Nee, dit is niet mogelijk. In het Hoofdlijnakkoord Ouderenzorg is vastgelegd dat MPT in principe voorliggend is aan VPT. Dit uitgangspunt geldt voor alle zorgkantoren en gecontracteerde zorgaanbieders. Voor eventuele regionale opslagen of maatwerkafspraken verwijzen wij naar het zorginkoopbeleid van de individuele zorgkantoren.;Is het mogelijk om af te spreken om het beleid “MPT voorliggend op VPT” niet uit te voeren maar in plaats daarvan een maatwerkafspraak te maken? Zo nee, waarom niet?;Nota van Inlichtingen Inkoopbeleid Bijlagen Wlz 2027-2029;3.2 Toetsingskader mpt voorliggend aan vpt;0.222;Laag;0.161
;Notilyze;"Moeten we  opmaken dat het Zorgkantoor momenteel uitgaat van overbehandeling? En zo ja, op welke vlakken en/of regio's vindt dit plaats?
Ziet het Zorgkantoor de specifieke doelgroepen, zoals bedoeld in Zorginkoopbeleid Langdurige zorg 2027-2029 op pagina 41, als de toekomstige verpleeghuisdoelgroepen? Zo nee, welke doelgroepen worden hier dan bedoeld?";"Nee, wij gaan niet uit van overbehandeling als algemeen uitgangspunt en hebben daarvoor geen specifieke vlakken of regio’s aangewezen. Wij constateren wel dat behandelcapaciteit schaars is en vragen daarom dat behandeling vraaggericht is, bij voorkeur tijdelijk, stopt zodra dat kan en regionaal doelmatig wordt ingezet. Met specifieke doelgroepen bedoelen wij klanten met een zeer complexe en/of intensieve zorgvraag, waaronder Huntington, Korsakov, beademing en complex gedrag; dit is geen uitputtende definitie van de toekomstige verpleeghuisdoelgroep. Zie inkoopbeleid Wlz V&V 2027-2029, paragrafen 6.1 en 6.6.";Bijlage 1 - Landelijke Inkoopvisie- Visie op samen werken aan langdurige zorg 2027-2029;3.2 Aandacht voor kwaliteit, innovatie, verduurzaming en samenwerking;;;FALSE;Wij contracteren LVHC-zorg alleen bij zorgaanbieders die beschikken over een positief deskundigheidsadvies voor een REC of DEC. Hier is voor 2027 in principe geen uitbreiding mogelijk. Dat is onderdeel van de gemaakte bestuurlijke afspraken. In het beleidskader leest u dat uitbreiding of herverdeling alleen kan plaatsvinden als voldaan wordt aan de inkoopvoorwaarden en als er sprake is van een tekort aan plaatsen of onderuitnutting van de afgesproken plaatsen. Lees in het beleidskader hoe dit wordt bepaald. U kunt ook contact opnemen met het doelgroepennetwerk voor meer informatie.;In deze alinea worden een aantal LVHC doelgroepen opgenomen. Wij bieden nu nog geen zorg aan deze doelgroepen. Bent u bereid om voor één of meerdere doelgroepen afspraken met onze organisatie te gaan maken?;Nota van Inlichtingen Inkoopbeleid Bijlagen Wlz 2027-2029;2.6 Laag Volume Hoog Complex (V&V, GZ en GGZ);0.287;Laag;0.112
;Notilyze;Hoe wordt bepaald wanneer intramuraal nog passend is?;"Wanneer zorg thuis niet passend is of niet verantwoord kan worden gegeven, is intramurale zorg of een geclusterde woonvorm mogelijk. Per klant wordt beoordeeld of zorg thuis via MPT of VPT kan; daarbij staan de zorgvraag, persoonlijke situatie, omgeving en het beschikbare aanbod centraal. Voor V&V geldt aanvullend: soms past zorg thuis niet meer bij de situatie van de klant en is zorg met verblijf mogelijk. Zie inkoopbeleid Wlz Gehandicaptenzorg 2027-2029, paragraaf 2.2 en inkoopbeleid Wlz Verpleging en verzorging 2027-2029, paragraaf 5.1.";Bijlage 1 - Landelijke Inkoopvisie- Visie op samen werken aan langdurige zorg 2027-2029;4.1 Verpleging & Verzorging - een andere kijk op de ouderenzorg;;;FALSE;Wanneer zorg thuis niet passend is of niet verantwoord of doelmatig kan worden georganiseerd, kan zorg met verblijf of, afhankelijk van de situatie, een geclusterde woonvorm passend zijn. Per cliënt wordt zorgvuldig afgewogen welke leveringsvorm het best past. Daarbij staan de zorgvraag, persoonlijke situatie, context, de mogelijkheden van het netwerk en het beschikbare aanbod centraal. Eerst wordt bezien of zorg thuis via MPT of VPT passend is. Voor V&V geldt aanvullend dat opname bedoeld is voor de meest kwetsbare cliënten met een intensieve of complexe zorgbehoefte voor wie zorg thuis niet meer passend is en geldt daarnaast dat het mpt in principe voorliggend is op het vpt.;Hoe wordt bepaald wanneer intramuraal nog passend is?;Nota van Inlichtingen Inkoopbeleid Bijlagen Wlz 2027-2029;4.1 Verpleging & Verzorging - een andere kijk op de ouderenzorg;1.000;Hoog;0.494
;Notilyze;(lijkt 4.1 te zijn ipv 4.3) In de visie wordt gesteld dat aanbieders, in het kader van een noodzakelijke organisatorische transformatie, eerst dienen te onderzoeken of extramurale zorg mogelijk is, voordat intramurale zorg wordt overwogen. Kunt u toelichten hoe deze volgorde zich verhoudt tot het uitgangspunt dat de individuele en contextafhankelijke zorgbehoefte van de cliënt leidend is?;Deze volgorde betekent dat wij eerst laten onderzoeken of zorg thuis of in een zo thuis mogelijke setting passend, doelmatig en kwalitatief verantwoord kan worden georganiseerd. Dat staat niet haaks op de individuele zorgbehoefte: juist de individuele mogelijkheden, context, het steunsysteem, de woonsituatie en de zorgvraag bepalen of extramurale zorg meerwaarde heeft. Als dat niet passend of verantwoord is, blijft intramurale zorg beschikbaar voor cliënten die dit nodig hebben. Zie bijlage 1 Visie op samen werken aan langdurige zorg, paragraaf 4.1 en paragraaf 4.3.;Bijlage 1 - Landelijke Inkoopvisie- Visie op samen werken aan langdurige zorg 2027-2029;4.3 Geestelijke Gezondheidszorg - verandering is nodig om passende zorg te behouden;;;FALSE;Deze volgorde betekent dat wij eerst laten onderzoeken of zorg thuis of in een zo thuis mogelijke setting passend, doelmatig en kwalitatief verantwoord kan worden georganiseerd. Dat staat niet haaks op de individuele zorgbehoefte: juist de individuele mogelijkheden, context, het steunsysteem, de woonsituatie en de zorgvraag bepalen of extramurale zorg meerwaarde heeft. Als dat niet passend of verantwoord is, blijft intramurale zorg beschikbaar voor cliënten die dit nodig hebben.;(lijkt 4.1 te zijn ipv 4.3) In de visie wordt gesteld dat aanbieders, in het kader van een noodzakelijke organisatorische transformatie, eerst dienen te onderzoeken of extramurale zorg mogelijk is, voordat intramurale zorg wordt overwogen. Kunt u toelichten hoe deze volgorde zich verhoudt tot het uitgangspunt dat de individuele en contextafhankelijke zorgbehoefte van de cliënt leidend is?;Nota van Inlichtingen Inkoopbeleid Bijlagen Wlz 2027-2029;4.3 Geestelijke Gezondheidszorg - verandering is nodig om passende zorg te behouden;1.000;Hoog;0.932
