"Categorie";"Onderdeel";"Nr";"Paragraaf";"Vraag"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"1";"1";"In het landelijk beleidskader Wlz 2027 dat is gepubliceerd door ZN staan veel onderwerpen die ook (op het oog) geheel of gedeeltelijk worden geregeld in het Inkoopbeleid van de zorgkantoren. In de rangorde komt (de inhoudelijke uitwerking van) het landelijk beleidskader na de Getekende overeenkomst Wlz 2027, de meest recente Nota’s van inlichtingen en het Inkoopbeleid Wlz 2027-2029 van het zorgkantoor. Klopt dat? Zo nee, graag een toelichting."
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"2";"2.1";"U stelt: ”Wij verwachten dat elke regio het convenant MGZ implementeert door aan de daarvoor bestemde regiotafels afspraken te maken.” Met deze passage gaan wij ervanuit dat zorgkantoren ‘daarbij passende inkoopafspraken bedoelen’. Kunt u dat bevestigen? Zo nee, waarom niet?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"3";"2.1";"U stelt: ”Wij verwachten dat elke regio het convenant MGZ implementeert door aan de daarvoor bestemde regiotafels afspraken te maken.” Bent u het met ons eens dat zorgverzekeraars daarbij ook passende afspraken moeten maken met de huisartsen in kwestie. Zo nee, waarom niet?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"4";"2.1";"U beschrijft dat hoe het zorgkantoor met het verzoek omgaat, afhankelijk is van regionaal beleid en van de beschikbare contracteerruimte. Wij zijn echter van mening dat de contracteerruimte niet mag voorgaan op de behoefte van de cliënt. Hoe waarborgt u dat er voldoende budget beschikbaar is voor het bieden van behandeling aan cliënten voor wie dit noodzakelijk is?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"5";"2.1";"In de aanvullende inkoopvoorwaarden stelt u dat elke zorgaanbieders MGZ conform het convenant voor het cliënten georganiseerd dient te hebben, ongeacht de leveringsvorm. Wij menen dat er geen MGZ-samenwerking nodig is, indien je als aanbieder voor alle cliënten verblijf en behandeling biedt. Een uitzondering hierop is de HAP, afhankelijk van hoe dit georganiseerd is. Wij stellen voor dit te verwerken in deze passage. Bent u hiertoe bereid? Zo nee, waarom niet?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"6";"2.1";"Elke zorgaanbieder organiseert de MGZ voor haar cliënten conform het convenant, ongeacht de leveringsvorm, en zet de beschikbare SO/AVG-capaciteit regionaal in volgens de daarover gemaakte afspraken. Wij menen dat deze werkwijze alleen goed uitvoerbaar is als regionale samenwerkingspartners hierover overeenstemming bereiken. Als die overeenstemming uitblijft, ligt het volgens ons voor de hand dat het zorgkantoor een regiotafel bijeenroept om tot een oplossing te komen. Sluit het zorgkantoor zich hierbij aan? Zo nee, waarom niet?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"7";"2.1";"In het beleid beschrijft u: “H335/ H336 kan ook afgesproken worden voor de inzet PA/ VS mits er aantoonbare, ondertekende, afspraken zijn tussen zorgaanbieder HA - SO/ AVG.” Deze zin vinden wij verwarrend, aangezien taakdelegatie en taakherschikking geen deel uitmaken van de afspraken MGZ. Deze worden binnen de eigen praktijkorganisatie afgesproken. Wij stellen daarom voor om de laatste zin te wijzigen dan wel te verwijderen. Stemt het zorgkantoor in met deze aanpassing? Zo nee, waarom niet?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"8";"2.2";"De Mondzorg is ook in de Aanvullende inkoopvoorwaarden Wlz 2026 uitgebreid geregeld. De zorgaanbieders hebben dus al veel geïmplementeerd. Klopt het dat de aanvullende inkoopvoorwaarden in paragraaf 2.2 van het Landelijk beleidskader Wlz 2027 alleen betrekking hebben op het onderdeel Machtigingen en vergoedingen? Zo nee, waar zijn de aanvullende voorwaarden in 2027 dan nog meer gewijzigd ten opzichte van 2026?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"9";"2.2";"Kunt u toelichten op welke wijze bij de totstandkoming van dit beleidskader is beoordeeld of de aanvullende administratieve verplichtingen proportioneel en uitvoerbaar zijn voor zorgaanbieders en mondzorgprofessionals?"
"Landelijk beleid";"I. Landelijk Beleidskader Wlz 2027 (ZN)";"10";"2.2";"De combinatie van onderaannemersregistratie, schriftelijke samenwerkingsovereenkomsten, dubbele dossiervoering, AO/IC, audits en declaratiecontrole kan voor instellingen behoorlijk zwaar worden. Vooral omdat mondzorg vaak relatief kleinschalig is binnen de totale zorgverlening. Kunt u toelichten hoe de proportionaliteit van de aanvullende administratieve verplichtingen rondom mondzorg is beoordeeld, mede gelet op de omvang van de mondzorgactiviteiten binnen instellingen, bestaande kwaliteits- en verantwoordingskaders en de beschikbare personele capaciteit?"
